File -> Method -> CC
..\app_cli\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java -> info -> 1
..\app_cli\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java -> warn -> 1
..\app_cli\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java -> error -> 2
..\app_cli\src\main\java\ru\bmstu\iu7\Main.java -> init -> 1
..\app_cli\src\main\java\ru\bmstu\iu7\Main.java -> askVariant -> 4
..\app_cli\src\test\java\DatabaseTest.java -> buildDBAPI -> 1
..\app_cli\src\test\java\DatabaseTest.java -> buildQuestionnaireComponents -> 1
..\app_cli\src\test\java\DatabaseTest.java -> buildUserManager -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java -> info -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java -> warn -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java -> error -> 2
..\app_cli_server\src\main\java\ru\bmstu\iu7\config\FilterConfig.java -> jwtAuthFilter -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\config\OpenApiConfig.java -> customOpenAPI -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> getUsers -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> deleteUser -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> putUser -> 2
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> patchUser -> 6
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> getUser -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> deleteAllUserQuests -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> registerUser -> 2
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> loginUser -> 2
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> logoutUser -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> getCurrentUserFromRequest -> 2
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> addFav -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> addBlack -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> delFav -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> delBlack -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java -> setActiveQuestionnaire -> 1
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\LoginRequest.java -> getName -> 1
