File:Method -> Volume | Difficulty | Effort
..\app_cli\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java:info -> 8.00 | 0.00 | 0.00
..\app_cli\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java:warn -> 8.00 | 0.00 | 0.00
..\app_cli\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java:error -> 118.59 | 6.75 | 800.50
..\app_cli\src\main\java\ru\bmstu\iu7\Main.java:init -> 59.21 | 1.65 | 97.69
..\app_cli\src\main\java\ru\bmstu\iu7\Main.java:askVariant -> 328.20 | 12.78 | 4195.20
..\app_cli\src\test\java\DatabaseTest.java:buildDBAPI -> 182.84 | 2.29 | 418.60
..\app_cli\src\test\java\DatabaseTest.java:buildQuestionnaireComponents -> 134.89 | 1.87 | 251.79
..\app_cli\src\test\java\DatabaseTest.java:buildUserManager -> 8.00 | 0.50 | 4.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java:info -> 8.00 | 0.00 | 0.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java:warn -> 8.00 | 0.00 | 0.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\AppLoggerImpl.java:error -> 118.59 | 6.75 | 800.50
..\app_cli_server\src\main\java\ru\bmstu\iu7\config\FilterConfig.java:jwtAuthFilter -> 108.00 | 5.10 | 550.80
..\app_cli_server\src\main\java\ru\bmstu\iu7\config\OpenApiConfig.java:customOpenAPI -> 215.43 | 1.21 | 261.13
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:getUsers -> 36.54 | 2.33 | 85.26
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:deleteUser -> 48.11 | 1.50 | 72.16
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:putUser -> 340.60 | 4.76 | 1622.88
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:patchUser -> 562.32 | 10.44 | 5871.30
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:getUser -> 11.61 | 0.50 | 5.80
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:deleteAllUserQuests -> 48.11 | 1.50 | 72.16
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:registerUser -> 321.45 | 6.33 | 2034.20
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:loginUser -> 425.84 | 8.97 | 3820.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:logoutUser -> 4.75 | 0.50 | 2.38
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:getCurrentUserFromRequest -> 160.47 | 4.17 | 668.64
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:addFav -> 225.95 | 3.42 | 771.98
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:addBlack -> 225.95 | 3.42 | 771.98
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:delFav -> 240.00 | 3.00 | 720.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:delBlack -> 240.00 | 3.00 | 720.00
..\app_cli_server\src\main\java\ru\bmstu\iu7\Controller.java:setActiveQuestionnaire -> 157.89 | 2.67 | 421.04
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\LoginRequest.java:getName -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\LoginRequest.java:setName -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\LoginRequest.java:getPassword -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\LoginRequest.java:setPassword -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:getUsername -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:setUsername -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:getPassword -> NaN | 0.00 | NaN
..\app_cli_server\src\main\java\ru\bmstu\iu7\dto\PutUserRequest.java:setPassword -> NaN | 0.00 | NaN
